sku,category_name,category_id
BEGP0003,Beauty,6
DDOS0013-156,Dairy,14
SSDL0049,Sabun Shampoo,7
SSHR0001,Sabun Shampoo,7
SSHR0102,Sabun Shampoo,7
SSHR0002,Sabun Shampoo,7
SSDL0003,Sabun Shampoo,7
DDDH0003,Dairy,14
DDDH0006,Dairy,14
DDDH0007,Dairy,14
DDDH0008,Dairy,14
DDDH0001,Dairy,14
DDDH0001-12,Dairy,14
DDDH0004,Dairy,14
DDDH0004-12,Dairy,14
DDDH0002,Dairy,14
DDDH0002-12,Dairy,14
ANCD0017,Anaaj,17
ANBN0047,Anaaj,17
ANSF0015,Anaaj,17
SSHR0133,Sabun Shampoo,7
ANMG0002,Anaaj,17
ANAD0012,Anaaj,17
ANKC0001,Anaaj,17
ANPL0004,Anaaj,17
ANGS0013,Anaaj,17
ANTS0007,Anaaj,17
ANPK0036,Anaaj,17
ANPL0045,Anaaj,17
ANPK0035,Anaaj,17
ANTS0016,Anaaj,17
ANGS0011,Anaaj,17
OGMZ0002,Oil aur Ghee,16
BTLC0024,Bedsheet Aur Towels,103
OGKR0001,Oil aur Ghee,16
OGKR0005,Oil aur Ghee,16
OGDN0038,Oil aur Ghee,16
OGDN0011,Oil aur Ghee,16
OGAR0090,Oil aur Ghee,16
OGCN0037,Oil aur Ghee,16
OGKR0013,Oil aur Ghee,16
OGKR0028,Oil aur Ghee,16
OGKR0012,Oil aur Ghee,16
OGKR0042,Oil aur Ghee,16
OGKR0015,Oil aur Ghee,16
OGMZ0016,Oil aur Ghee,16
ANCH0020-5,Anaaj,17
ANSU0010,Anaaj,17
ANAI0037,Anaaj,17
OGNE0009,Oil aur Ghee,16
ANSU0005,Anaaj,17
GSCY0001,Ghar ka Samaan,4
GSCY0002,Ghar ka Samaan,4
OGMZ0017,Oil aur Ghee,16
BUNDF005,Delist - Parent Category,3
OGKR0012-12,Oil aur Ghee,16
OGAR0010-5,Oil aur Ghee,16
OGKR0012-84,Oil aur Ghee,16
SNYS0039-2,Snacks,23
OGNE0009-12,Oil aur Ghee,16
OGBT0014,Oil aur Ghee,16
